Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta086,100,first,insert,random,5,18.3603,0.8108
ta086,100,first,insert,random,6,20.1398,0.5438
ta086,100,first,insert,random,7,21.0963,0.9447
ta086,100,first,insert,random,8,13.8422,1.6455
ta086,100,first,insert,random,9,18.9678,0.9985
ta086,100,first,insert,random,10,16.716,0.7567
ta086,100,first,insert,srz,1,7.6949,0.8601
ta086,100,first,insert,srz,2,8.1519,0.7407
ta086,100,first,insert,srz,3,7.9769,0.9347
ta086,100,first,insert,srz,4,7.3533,0.9915
ta086,100,first,insert,srz,5,8.1673,1.0661
ta086,100,first,insert,srz,6,7.7723,1.2862
ta086,100,first,insert,srz,7,8.8103,0.8661
ta086,100,first,insert,srz,8,9.1662,0.9077
ta086,100,first,insert,srz,9,7.2611,0.8407
ta086,100,first,insert,srz,10,8.5315,1.2037
ta086,100,best,transpose,random,1,27.6554,0.0319
ta086,100,best,transpose,random,2,28.1291,0.0344
ta086,100,best,transpose,random,3,23.5856,0.0238
ta086,100,best,transpose,random,4,26.75,0.0139
ta086,100,best,transpose,random,5,25.5513,0.0118
ta086,100,best,transpose,random,6,30.7057,0.0623
ta086,100,best,transpose,random,7,27.8956,0.0527
ta086,100,best,transpose,random,8,26.182,0.0222
ta086,100,best,transpose,random,9,25.0022,0.0403
ta086,100,best,transpose,random,10,26.2122,0.0128
ta086,100,best,transpose,srz,1,8.099,0.2795
ta086,100,best,transpose,srz,2,8.099,0.2851
ta086,100,best,transpose,srz,3,8.099,0.2772
ta086,100,best,transpose,srz,4,8.099,0.2745
ta086,100,best,transpose,srz,5,8.099,0.2785
ta086,100,best,transpose,srz,6,8.099,0.2838
ta086,100,best,transpose,srz,7,8.099,0.2853
ta086,100,best,transpose,srz,8,8.099,0.2823
ta086,100,best,transpose,srz,9,8.099,0.2823
ta086,100,best,transpose,srz,10,8.099,0.2886
ta086,100,best,exchange,random,1,21.882,1.9118
ta086,100,best,exchange,random,2,25.1394,1.1307
ta086,100,best,exchange,random,3,27.3043,1.1256
ta086,100,best,exchange,random,4,27.4192,1.1593
ta086,100,best,exchange,random,5,27.245,1.1311
ta086,100,best,exchange,random,6,24.9728,1.8809
ta086,100,best,exchange,random,7,28.9587,1.8911
ta086,100,best,exchange,random,8,27.6896,1.1298
ta086,100,best,exchange,random,9,27.7112,1.1296
ta086,100,best,exchange,random,10,25.8843,1.1968
ta086,100,best,exchange,srz,1,8.6941,1.8795
ta086,100,best,exchange,srz,2,8.6941,1.8322
ta086,100,best,exchange,srz,3,8.6941,1.8215
ta086,100,best,exchange,srz,4,8.6941,1.8265
ta086,100,best,exchange,srz,5,8.6941,1.8183
ta086,100,best,exchange,srz,6,8.6941,1.8158
ta086,100,best,exchange,srz,7,8.6941,1.8144
ta086,100,best,exchange,srz,8,8.6941,1.8148
ta086,100,best,exchange,srz,9,8.6941,1.7902
ta086,100,best,exchange,srz,10,8.6941,1.8102
ta086,100,best,insert,random,1,27.2812,1.1482
ta086,100,best,insert,random,2,26.9832,0.7605
ta086,100,best,insert,random,3,30.809,1.2509
ta086,100,best,insert,random,4,26.9013,1.1964
ta086,100,best,insert,random,5,27.1625,1.1643
ta086,100,best,insert,random,6,25.8595,2.2943
ta086,100,best,insert,random,7,24.66,1.6147
ta086,100,best,insert,random,8,26.9668,1.1633
ta086,100,best,insert,random,9,28.926,1.1699
ta086,100,best,insert,random,10,31.881,0.7894
ta086,100,best,insert,srz,1,8.0748,1.462
ta086,100,best,insert,srz,2,8.0748,1.4361
ta086,100,best,insert,srz,3,8.0748,1.4798
ta086,100,best,insert,srz,4,8.0748,1.4343
ta086,100,best,insert,srz,5,8.0748,1.4414
ta086,100,best,insert,srz,6,8.0748,1.443
ta086,100,best,insert,srz,7,8.0748,1.4422
ta086,100,best,insert,srz,8,8.0748,1.4577
ta086,100,best,insert,srz,9,8.0748,1.4342
ta086,100,best,insert,srz,10,8.0748,1.4634
ta058,50,first,transpose,random,1,16.3264,0.1848
ta058,50,first,transpose,random,2,22.4485,0.1151
ta058,50,first,transpose,random,3,19.6834,0.2127
ta058,50,first,transpose,random,4,17.2366,0.119
ta058,50,first,transpose,random,5,20.6149,0.1128
ta058,50,first,transpose,random,6,20.7537,0.1162
ta058,50,first,transpose,random,7,18.8556,0.1616
ta058,50,first,transpose,random,8,17.9828,0.2465
ta058,50,first,transpose,random,9,23.9711,0.0913
ta058,50,first,transpose,random,10,22.0591,0.1128
ta058,50,first,transpose,srz,1,5.1588,0.1093
ta058,50,first,transpose,srz,2,5.1588,0.1193
ta058,50,first,transpose,srz,3,5.1588,0.1332
ta058,50,first,transpose,srz,4,5.1588,0.1233
ta058,50,first,transpose,srz,5,5.1588,0.1455
ta058,50,first,transpose,srz,6,5.1588,0.1133
ta058,50,first,transpose,srz,7,5.1588,0.1261
ta058,50,first,transpose,srz,8,5.1588,0.1142
ta058,50,first,transpose,srz,9,5.1588,0.1333
ta058,50,first,transpose,srz,10,5.1588,0.1182
ta058,50,first,exchange,random,1,11.7758,0.1308
ta058,50,first,exchange,random,2,16.7019,0.1409
ta058,50,first,exchange,random,3,12.264,0.1009
ta058,50,first,exchange,random,4,14.536,0.1787
ta058,50,first,exchange,random,5,11.6892,0.0821
ta058,50,first,exchange,random,6,11.1871,0.0869
ta058,50,first,exchange,random,7,13.0779,0.0722
ta058,50,first,exchange,random,8,13.6078,0.115
ta058,50,first,exchange,random,9,10.5463,0.1654
ta058,50,first,exchange,random,10,14.745,0.204
ta058,50,first,exchange,srz,1,5.3074,0.0941
ta058,50,first,exchange,srz,2,5.3074,0.0925
ta058,50,first,exchange,srz,3,5.3074,0.0898
ta058,50,first,exchange,srz,4,5.3074,0.0922
ta058,50,first,exchange,srz,5,5.3074,0.0954
ta058,50,first,exchange,srz,6,5.3074,0.0916
ta058,50,first,exchange,srz,7,5.3074,0.0912
ta058,50,first,exchange,srz,8,5.3074,0.0912
ta058,50,first,exchange,srz,9,5.3074,0.0936
ta058,50,first,exchange,srz,10,5.3074,0.09
ta058,50,first,insert,random,1,14.8373,0.1339
ta058,50,first,insert,random,2,12.6256,0.1537
ta058,50,first,insert,random,3,18.2833,0.0764
ta058,50,first,insert,random,4,11.4769,0.2269
ta058,50,first,insert,random,5,19.5642,0.2127
ta058,50,first,insert,random,6,11.9178,0.1636
ta058,50,first,insert,random,7,10.3258,0.1673
ta058,50,first,insert,random,8,17.8089,0.0948
ta058,50,first,insert,random,9,18.3216,0.0909
ta058,50,first,insert,random,10,12.8975,0.1054
