Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta082,100,best,exchange,srz,3,5.2844,0.6622
ta082,100,best,exchange,srz,4,5.2844,0.6713
ta082,100,best,exchange,srz,5,5.2844,0.6741
ta082,100,best,exchange,srz,6,5.2844,0.6673
ta082,100,best,exchange,srz,7,5.2844,0.6564
ta082,100,best,exchange,srz,8,5.2844,0.6654
ta082,100,best,exchange,srz,9,5.2844,0.6595
ta082,100,best,exchange,srz,10,5.2844,0.6573
ta082,100,best,insert,srz,1,5.2844,0.657
ta082,100,best,insert,srz,2,5.2844,0.6641
ta082,100,best,insert,srz,3,5.2844,0.6491
ta082,100,best,insert,srz,4,5.2844,0.662
ta082,100,best,insert,srz,5,5.2844,0.6536
ta082,100,best,insert,srz,6,5.2844,0.6675
ta082,100,best,insert,srz,7,5.2844,0.6481
ta082,100,best,insert,srz,8,5.2844,0.649
ta082,100,best,insert,srz,9,5.2844,0.6553
ta082,100,best,insert,srz,10,5.2844,0.6708
ta082,100,best,insert,random,1,22.7268,1.1869
ta082,100,best,insert,random,2,23.8405,1.1558
ta082,100,best,insert,random,3,26.6448,1.1926
ta082,100,best,insert,random,4,25.94,1.1851
ta082,100,best,insert,random,5,29.7593,1.1623
ta082,100,best,insert,random,6,27.3271,1.1581
ta082,100,best,insert,random,7,23.4604,1.1879
ta082,100,best,insert,random,8,27.3755,0.8007
ta082,100,best,insert,random,9,28.5128,1.1604
ta082,100,best,insert,random,10,25.0161,1.1745
ta086,100,first,transpose,random,1,21.8178,0.8964
ta086,100,first,transpose,random,2,21.1446,0.9937
ta086,100,first,transpose,random,3,20.7332,0.9425
ta086,100,first,transpose,random,4,22.4676,0.7285
ta086,100,first,transpose,random,5,20.9828,1.939
ta086,100,first,transpose,random,6,22.0556,1.5855
ta086,100,first,transpose,random,7,21.3646,0.7677
ta086,100,first,transpose,random,8,22.0799,1.2525
ta086,100,first,transpose,random,9,24.6765,1.1687
ta086,100,first,transpose,random,10,21.8526,0.8872
ta086,100,first,transpose,srz,1,8.0726,0.7828
ta086,100,first,transpose,srz,2,7.6164,1.6474
ta086,100,first,transpose,srz,3,7.7237,0.9167
ta086,100,first,transpose,srz,4,8.0033,0.8889
ta086,100,first,transpose,srz,5,8.099,0.6845
ta086,100,first,transpose,srz,6,8.0284,0.7747
ta086,100,first,transpose,srz,7,7.7232,0.9016
ta086,100,first,transpose,srz,8,7.7084,1.4368
